country,sex,T1,T2,total_change,pop_growth,pop_aging,rate_change,check_sum,residual,pop_growth_pct,pop_aging_pct,rate_change_pct
China,Both,4479850.0,6562055.0,2082204.0,1346875.0,338639.0,398948.0,2084461.0,-2256.0,64.7,16.3,19.2
China,Male,1440810.0,2087826.0,647016.0,420098.0,117023.0,110021.0,647142.0,-126.0,64.9,18.1,17.0
China,Female,3039040.0,4474229.0,1435188.0,941469.0,202106.0,292881.0,1436456.0,-1267.0,65.6,14.1,20.4
G20,Both,16289785.0,24873985.0,8584199.0,7315021.0,736332.0,529620.0,8580973.0,3227.0,85.2,8.6,6.2
G20,Male,4934700.0,7714851.0,2780151.0,2226102.0,264634.0,288267.0,2779002.0,1148.0,80.1,9.5,10.4
G20,Female,11355085.0,17159134.0,5804049.0,5112025.0,407506.0,281863.0,5801394.0,2655.0,88.1,7.0,4.9
EU,Both,2675517.0,2855791.0,180274.0,237904.0,-57753.0,71.0,180221.0,53.0,132.0,-32.0,0.0
EU,Male,712105.0,779541.0,67436.0,68581.0,-7083.0,5937.0,67434.0,2.0,101.7,-10.5,8.8
EU,Female,1963412.0,2076250.0,112838.0,162258.0,-63722.0,14300.0,112836.0,2.0,143.8,-56.5,12.7
Germany,Both,562836.0,562658.0,-178.0,35586.0,-28619.0,-7162.0,-195.0,16.0,19992.1,-16078.1,-4023.6
Germany,Male,143296.0,147691.0,4395.0,12521.0,-7760.0,-367.0,4395.0,1.0,284.9,-176.6,-8.4
Germany,Female,419540.0,414967.0,-4574.0,17333.0,-20567.0,-1341.0,-4574.0,0.0,378.9,-449.7,-29.3
Brazil,Both,901261.0,1352948.0,451687.0,442866.0,-9731.0,18264.0,451399.0,288.0,98.0,-2.2,4.0
Brazil,Male,252529.0,383396.0,130867.0,119393.0,-2347.0,13626.0,130672.0,195.0,91.2,-1.8,10.4
Brazil,Female,648733.0,969553.0,320820.0,331605.0,-15707.0,4665.0,320563.0,257.0,103.4,-4.9,1.5
South Korea,Both,193613.0,235277.0,41665.0,42694.0,7078.0,-8088.0,41683.0,-19.0,102.5,17.0,-19.4
South Korea,Male,57362.0,73806.0,16444.0,13133.0,4606.0,-1280.0,16459.0,-15.0,79.9,28.0,-7.8
South Korea,Female,136250.0,161471.0,25221.0,29370.0,-529.0,-3584.0,25257.0,-36.0,116.5,-2.1,-14.2
United States,Both,1566854.0,2008793.0,441939.0,537840.0,-32792.0,-63234.0,441813.0,126.0,121.7,-7.4,-14.3
United States,Male,392825.0,526078.0,133253.0,145526.0,-3146.0,-9134.0,133246.0,7.0,109.2,-2.4,-6.9
United States,Female,1174029.0,1482715.0,308686.0,378187.0,-33701.0,-35813.0,308673.0,13.0,122.5,-10.9,-11.6
India,Both,3812860.0,7480365.0,3667505.0,3226471.0,407835.0,34534.0,3668840.0,-1336.0,88.0,11.1,0.9
India,Male,1297728.0,2513234.0,1215506.0,1054107.0,152512.0,9014.0,1215633.0,-127.0,86.7,12.5,0.7
India,Female,2515132.0,4967131.0,2451999.0,2213148.0,251029.0,-11585.0,2452592.0,-593.0,90.3,10.2,-0.5
Japan,Both,493821.0,487724.0,-6097.0,13873.0,-31270.0,11307.0,-6090.0,-7.0,227.5,-512.9,185.5
Japan,Male,138779.0,148604.0,9825.0,2614.0,-2456.0,9666.0,9825.0,0.0,26.6,-25.0,98.4
Japan,Female,355042.0,339120.0,-15922.0,13132.0,-34749.0,5709.0,-15908.0,-15.0,82.5,-218.2,35.9
United Kingdom,Both,356400.0,426198.0,69798.0,79538.0,-7056.0,-2686.0,69796.0,2.0,114.0,-10.1,-3.8
United Kingdom,Male,92119.0,112117.0,19999.0,21577.0,-1862.0,283.0,19999.0,-0.0,107.9,-9.3,1.4
United Kingdom,Female,264281.0,314081.0,49800.0,56539.0,-3267.0,-3465.0,49807.0,-7.0,113.5,-6.6,-7.0
Russia,Both,879395.0,925357.0,45962.0,14826.0,35887.0,-4756.0,45957.0,6.0,32.3,78.1,-10.3
Russia,Male,240781.0,260780.0,19999.0,3501.0,14577.0,1921.0,19999.0,-0.0,17.5,72.9,9.6
Russia,Female,638614.0,664577.0,25963.0,12094.0,14419.0,-550.0,25963.0,0.0,46.6,55.5,-2.1
Saudi Arabia,Both,71689.0,173920.0,102231.0,93725.0,12536.0,-4191.0,102071.0,160.0,91.7,12.3,-4.1
Saudi Arabia,Male,29360.0,79884.0,50524.0,45431.0,5155.0,-69.0,50517.0,7.0,89.9,10.2,-0.1
Saudi Arabia,Female,42329.0,94036.0,51707.0,43799.0,8132.0,-226.0,51706.0,1.0,84.7,15.7,-0.4
Turkey,Both,302442.0,517201.0,214760.0,186364.0,25546.0,2785.0,214695.0,65.0,86.8,11.9,1.3
Turkey,Male,88160.0,147850.0,59690.0,52349.0,6529.0,791.0,59670.0,20.0,87.7,10.9,1.3
Turkey,Female,214282.0,369352.0,155070.0,136161.0,17046.0,1809.0,155016.0,55.0,87.8,11.0,1.2
