country,tier,haqi_1990,ASPR_1990,ASIR_1990,ASDR_1990,haqi_2019,ASPR_2019,ASIR_2019,ASDR_2019,delta_HAQI,delta_ASPR,pct_change_ASPR,delta_ASIR,pct_change_ASIR,delta_ASDR,pct_change_ASDR
Argentina,3.0,45.75731711,10862.86915776098,915.13934705591,379.32884168855605,59.87611148,11279.7394787911,939.70870212552,394.57961649829656,14.118794369999996,416.87032103011916,3.8375710410935584,24.56935506960997,2.6847665493404818,15.250774809740506,4.020462757815287
Australia,4.0,75.81396908,13343.67308588088,1090.4751613790302,449.9169726569981,90.17535057,13368.52294801858,1091.33474673788,449.1292045249429,14.36138149,24.849862137700256,0.18622954847413212,0.8595853588499267,0.0788266793498426,-0.7877681320551915,-0.1750918902665537
Brazil,1.0,35.51584857,17727.86096867868,1443.76757549065,603.0253276651148,52.97481684,18054.96252336954,1476.45268905078,614.1116537457608,17.45896827,327.1015546908602,1.8451270306596963,32.68511356013005,2.263876410233298,11.086326080646018,1.838451151558052
Canada,3.0,79.17861135,16489.49794515052,1236.2773400958702,583.2767605518034,90.68876721,16168.03719103295,1230.54807188044,570.3826610569953,11.510155859999998,-321.4607541175701,-1.9494878205925616,-5.729268215430238,-0.4634290405246729,-12.894099494808074,-2.210631447515539
China,2.0,35.0339427,10676.22062594429,901.14888532227,372.62357314368097,70.2446957,11484.66820018659,957.84456657537,402.7066660205349,35.210753,808.4475742423001,7.5724135212950845,56.69568125310002,6.29148880684954,30.083092876853925,8.073319844757675
France,2.0,68.72103777,17080.066684596808,1330.15236635211,607.7835212874802,88.01601335,16938.65931528226,1321.30452809828,603.9385551282618,19.29497558,-141.4073693145474,-0.8279087659656024,-8.847838253830105,-0.6651747933279967,-3.8449661592184157,-0.6326209949018601
Germany,1.0,67.99930791,18523.06233589691,1381.6498793967498,642.2315295672144,86.97562007,19265.66246855526,1401.75062806051,664.0458695676543,18.976312160000006,742.60013265835,4.009057029513,20.100748663760214,1.454836638681322,21.814340000439984,3.3966473142700084
India,2.0,20.07981204,14628.47035236882,1221.36752935151,486.3691151728835,39.1618459,14581.85334069203,1214.42753757771,489.87450045469257,19.082033860000003,-46.61701167678984,-0.31867318013356777,-6.939991773800102,-0.5682148581013055,3.505385281809083,0.7207253035717673
Indonesia,4.0,25.85936538,15905.20676445362,1314.74266744105,559.6277166299469,40.85152582,15826.98052571809,1308.93834931794,559.5502224351471,14.99216044,-78.22623873552948,-0.491827864258618,-5.8043181231098515,-0.44147940633942373,-0.07749419479978314,-0.013847454744816736
Italy,2.0,72.65474995,18795.40186912877,1452.06813928903,661.8017894281954,89.59616136,19042.62176734766,1464.05712315697,673.6668430490969,16.94141141,247.21989821888928,1.3153211617408676,11.988983867940078,0.8256488482565423,11.865053620901449,1.7928409699757681
Japan,3.0,72.91135926,10228.17812294941,833.82011143146,358.5180837915411,87.54804355,10489.50503625232,854.55850004024,365.4481100973305,14.636684290000005,261.3269133029098,2.554970300297755,20.738388608780042,2.4871538026562385,6.930026305789454,1.9329642266577802
Mexico,3.0,35.20028486,13488.38873026546,1109.69717265503,473.7334589599778,52.52673797,13657.70051616506,1120.13515067018,481.398607190898,17.326453110000003,169.31178589959927,1.2552410023570482,10.437978015150065,0.9406149959070775,7.665148230920238,1.6180297350641237
Russia,2.0,51.89426335,14040.78238755726,1075.6523023271102,534.1624349656771,67.64388703,14028.48894657262,1075.04365983749,536.617636597973,15.74962368,-12.293440984640256,-0.08755524190400193,-0.6086424896202516,-0.056583571503866954,2.455201632295939,0.45963577211372025
Saudi Arabia,3.0,37.13154077,13952.5646614341,1155.40720586116,498.1829526560207,63.33233758,13662.01603006094,1138.07872083133,485.7837241053574,26.20079681,-290.5486313731599,-2.0824030450563495,-17.328485029830063,-1.499772975443287,-12.399228550663281,-2.4888905741470744
South Africa,4.0,34.93052405,13605.951794338538,1113.33253073569,474.3027046367822,44.56412633,13576.38001404087,1110.29061158216,469.7950865927495,9.633602279999998,-29.571780297668738,-0.21734444414225848,-3.0419191535299888,-0.2732264682430405,-4.507618044032711,-0.9503673497886996
South Korea,2.0,50.54787626,12103.3190237816,950.11805473951,407.182892081348,86.31870836,11503.62631043357,916.90777558883,392.0447399025013,35.7708321,-599.6927133480294,-4.954779033500676,-33.21027915067998,-3.4953844930128297,-15.138152178846667,-3.7177770660910605
Turkey,1.0,36.83522639,14827.63456438995,1196.91784513122,554.2240102007333,64.76845429,14816.576725322238,1198.69887946925,557.9303947955353,27.93322789999999,-11.05783906771103,-0.07457588072926707,1.78103433802994,0.1488017197901066,3.706384594801989,0.6687520797699797
United Kingdom,3.0,70.08296401,16821.07533149008,1339.1807691937,588.3799120156053,83.34223259,16936.0551864192,1345.23454102831,588.3087857879792,13.259268579999997,114.97985492911903,0.6835464003533098,6.053771834610188,0.4520503858680013,-0.07112622762610954,-0.012088486736818284
United States,2.0,72.0608623,16795.972208684,1321.66675982918,582.7516968679003,80.5818494,16374.64123276151,1296.34067909416,567.9724747302841,8.5209871,-421.3309759224903,-2.5085238930357963,-25.326080735020014,-1.916222871360804,-14.779222137616102,-2.5361096702162493
