entity,measure,segment_start,segment_end,APC_pct,APC_95CI
China,ASPR,1990,2000,-0.154,"(-0.211, -0.097)"
China,ASPR,2001,2004,1.44,"(1.373, 1.506)"
China,ASPR,2005,2023,0.197,"(0.146, 0.248)"
China,ASIR,1990,2000,-0.132,"(-0.175, -0.089)"
China,ASIR,2001,2004,1.195,"(1.138, 1.251)"
China,ASIR,2005,2023,0.16,"(0.119, 0.201)"
China,ASDR,1990,2002,-0.054,"(-0.137, 0.030)"
China,ASDR,2003,2017,0.123,"(0.055, 0.191)"
China,ASDR,2018,2023,0.016,"(-0.205, 0.237)"
G20,ASPR,1990,2000,-0.059,"(-0.083, -0.036)"
G20,ASPR,2001,2004,0.417,"(0.399, 0.434)"
G20,ASPR,2005,2023,0.133,"(0.117, 0.148)"
G20,ASIR,1990,1999,-0.054,"(-0.061, -0.047)"
G20,ASIR,2000,2005,0.479,"(0.444, 0.515)"
G20,ASIR,2006,2023,0.074,"(0.057, 0.091)"
G20,ASDR,1990,2000,-0.051,"(-0.074, -0.028)"
G20,ASDR,2001,2004,0.45,"(0.429, 0.471)"
G20,ASDR,2005,2023,0.085,"(0.070, 0.100)"
EU,ASPR,1990,2002,0.26,"(0.219, 0.302)"
EU,ASPR,2003,2016,0.11,"(0.090, 0.130)"
EU,ASPR,2017,2023,-0.28,"(-0.394, -0.165)"
EU,ASIR,1990,1997,0.039,"(0.004, 0.074)"
EU,ASIR,1998,2015,0.096,"(0.087, 0.104)"
EU,ASIR,2016,2023,-0.126,"(-0.164, -0.089)"
EU,ASDR,1990,1997,0.17,"(0.116, 0.225)"
EU,ASDR,1998,2013,0.059,"(0.033, 0.086)"
EU,ASDR,2014,2023,-0.387,"(-0.440, -0.334)"
