Country,Tier,ASPR_2023,ASPR_EAPC,ASPR_Z_p,ASIR_2023,ASIR_EAPC,ASIR_Z_p,ASDR_2023,ASDR_EAPC,ASDR_Z_p
China,Tier 2,"11,420 (9,841–12,927)",+0.280 (+0.240 to +0.320),—,"952.4 (840.4–1,091.0)",+0.237 (+0.203 to +0.271),—,400.0 (265.9–554.8),+0.285 (+0.244 to +0.326),—
Argentina,Tier 3,"11,278 (9,612–13,067)",+0.162 (+0.135 to +0.189),1.85e-06,"939.5 (814.3–1,110.9)",+0.115 (+0.095 to +0.135),1.61e-09,391.9 (256.5–546.6),+0.148 (+0.121 to +0.175),4.28e-08
Australia,Tier 4,"13,365 (11,259–15,729)",+0.004 (+0.003 to +0.005),0,"1,091.0 (938.0–1,304.2)",+0.001 (-0.000 to +0.002),0,447.5 (293.0–618.0),-0.020 (-0.024 to -0.015),0
Brazil,Tier 1,"18,151 (15,472–20,733)",+0.095 (+0.035 to +0.154),4.24e-07,"1,481.3 (1,298.1–1,696.0)",+0.104 (+0.020 to +0.188),0.00421,613.1 (415.8–834.6),+0.092 (+0.041 to +0.144),8.46e-09
Canada,Tier 3,"16,104 (13,572–18,736)",-0.088 (-0.109 to -0.068),0,"1,228.0 (1,057.2–1,452.0)",-0.022 (-0.030 to -0.014),0,565.8 (374.0–783.1),-0.111 (-0.138 to -0.085),0
France,Tier 2,"16,924 (14,462–19,477)",-0.040 (-0.056 to -0.024),0,"1,320.4 (1,139.1–1,558.8)",-0.028 (-0.038 to -0.019),0,600.0 (394.0–828.0),-0.044 (-0.068 to -0.021),0
Germany,Tier 1,"18,454 (15,784–21,232)",+0.020 (-0.051 to +0.091),4.03e-10,"1,380.0 (1,197.7–1,617.9)",+0.022 (-0.001 to +0.046),0,636.5 (418.7–871.7),-0.000 (-0.069 to +0.069),2.98e-12
India,Tier 2,"14,619 (12,625–16,703)",-0.022 (-0.048 to +0.005),0,"1,216.5 (1,066.0–1,379.6)",-0.027 (-0.049 to -0.005),0,490.2 (325.2–684.4),+0.008 (-0.013 to +0.030),0
Indonesia,Tier 4,"15,817 (13,582–17,910)",-0.018 (-0.018 to -0.017),0,"1,308.3 (1,160.3–1,495.2)",-0.016 (-0.017 to -0.016),0,557.8 (369.8–771.4),-0.008 (-0.012 to -0.003),0
Italy,Tier 2,"18,871 (16,364–21,297)",+0.087 (-0.033 to +0.207),0.00274,"1,457.2 (1,295.7–1,662.5)",+0.037 (-0.032 to +0.107),4.03e-07,663.3 (445.6–920.5),+0.101 (-0.029 to +0.232),0.00827
Japan,Tier 3,"10,498 (9,156–12,124)",+0.119 (+0.090 to +0.149),2.41e-10,854.6 (745.0–992.9),+0.113 (+0.087 to +0.138),1.01e-08,364.7 (240.2–503.1),+0.085 (+0.060 to +0.111),4.44e-16
Mexico,Tier 3,"13,658 (11,775–15,427)",+0.055 (+0.047 to +0.064),0,"1,119.8 (984.6–1,276.4)",+0.043 (+0.036 to +0.051),0,478.6 (325.5–663.0),+0.050 (+0.038 to +0.062),0
South Korea,Tier 2,"11,539 (9,692–13,665)",-0.232 (-0.286 to -0.178),0,"919.2 (792.8–1,090.2)",-0.158 (-0.191 to -0.126),0,391.8 (260.0–544.2),-0.186 (-0.233 to -0.139),0
Russia,Tier 2,"14,003 (12,116–15,908)",+0.002 (-0.023 to +0.027),0,"1,074.8 (951.3–1,232.6)",-0.002 (-0.008 to +0.004),0,532.3 (349.8–730.4),+0.019 (-0.032 to +0.070),1.55e-15
Saudi Arabia,Tier 3,"13,684 (11,599–15,946)",-0.069 (-0.081 to -0.058),0,"1,137.5 (982.1–1,343.8)",-0.057 (-0.072 to -0.043),0,483.0 (325.0–666.7),-0.101 (-0.127 to -0.075),0
South Africa,Tier 4,"13,576 (11,820–15,529)",-0.013 (-0.017 to -0.010),0,"1,110.5 (983.0–1,280.1)",-0.014 (-0.017 to -0.012),0,467.4 (315.8–649.1),-0.055 (-0.060 to -0.049),0
Turkey,Tier 1,"14,928 (12,691–17,067)",+0.012 (-0.015 to +0.038),0,"1,204.3 (1,043.9–1,414.3)",+0.019 (+0.006 to +0.031),0,557.9 (369.1–769.0),+0.026 (+0.012 to +0.040),0
United Kingdom,Tier 3,"16,945 (14,632–19,195)",+0.024 (+0.015 to +0.032),0,"1,345.6 (1,183.4–1,552.2)",+0.015 (+0.010 to +0.021),0,584.9 (386.9–809.1),-0.014 (-0.021 to -0.007),0
United States,Tier 2,"16,360 (14,103–19,044)",-0.001 (-0.091 to +0.089),2.11e-08,"1,295.6 (1,152.4–1,485.4)",+0.015 (-0.058 to +0.089),7.95e-08,563.6 (379.1–783.5),-0.009 (-0.088 to +0.070),1.06e-10
EU,—,"16,862 (14,476–19,137)",—,—,"1,301.8 (1,136.7–1,524.3)",—,—,587.6 (388.7–812.0),—,—
G20,—,"14,008 (12,077–15,965)",—,—,"1,149.6 (1,011.5–1,307.0)",—,—,483.7 (320.0–676.0),—,—
